timestamp,kiln_speed_rpm,kiln_main_drive_power_kw,kiln_inlet_temp_c,kiln_outlet_temp_c,kiln_shell_temp_c,kiln_coating_thickness_mm,kiln_refractory_status,burner_flame_temp_c,primary_air_flow_nm3_hr,secondary_air_flow_nm3_hr,coal_feed_rate_tph,oil_injection_lph,kiln_exit_o2_pct,kiln_exit_co_ppm,kiln_exit_no_x_ppm,kiln_exit_so2_ppm,cooler_inlet_temp_c,cooler_outlet_temp_c,cooler_air_flow_nm3_hr,cooler_fan_power_kw,clinker_discharge_rate_tph,cooler_efficiency_pct,specific_heat_consumption_kcal_kg,kiln_specific_power_kwht,high_co_alarm,flame_instability_alarm,kiln_vibration_alarm,cooler_fan_failure_alarm,kiln_feed_tph,kiln_main_burner_fuel_kgph,kiln_secondary_air_temp_c,kiln_exit_gas_temp_c,kiln_O2_pct,clinker_quality_lsf,clinker_quality_silica_modulus,clinker_free_lime_pct,cooler_pressure_drop_pa,kiln_NOx_ppm,kiln_CO_ppm,cooler_exit_temp_c
2025-09-18T01:52:09.376118,3.96,455.0,977.5,1372.32,360.47,23.53,Critical,1817.39,17109.61,30297.97,13.31,25.27,1.05,159.65,794.97,131.74,1372.04,103.57,86188.61,501.95,140.29,91.98,751.04,27.33,1,0,0,1,109.67,923.75,920.75,380.71,2.46,95.36,2.97,1.07,1552.04,548.82,204.63,114.47
2025-09-18T01:53:09.376118,3.87,590.91,954.58,1372.79,293.41,11.6,Good,1973.3,16900.63,34534.1,17.0,8.13,1.71,301.05,810.55,152.53,1357.14,105.4,80682.8,573.44,123.11,87.7,838.81,35.32,0,1,0,0,182.18,902.52,880.23,306.62,2.83,95.67,2.72,0.82,1499.23,565.4,210.71,85.71
2025-09-18T01:54:09.376118,3.21,599.0,1003.9,1424.7,314.27,21.67,Worn,1843.86,19987.69,35095.26,12.55,2.36,1.22,288.23,837.62,113.32,1356.35,95.26,89922.43,658.73,148.55,93.61,701.72,35.81,1,1,0,1,143.48,726.86,990.76,387.59,1.53,95.01,2.18,1.87,1870.52,389.53,209.74,104.36
2025-09-18T01:55:09.376118,3.23,602.5,1003.94,1427.86,329.55,10.01,Worn,1897.72,15559.34,33629.81,17.91,40.34,1.48,172.26,770.21,61.81,1423.19,112.64,89559.69,659.81,106.29,91.6,842.03,27.48,1,0,0,1,139.9,835.84,874.68,389.96,1.9,92.48,2.06,0.53,1553.92,476.53,51.8,108.31
2025-09-18T01:56:09.376118,3.09,463.48,953.14,1383.04,327.12,15.57,Worn,1842.85,15661.56,39355.14,15.43,23.63,2.57,342.25,657.12,64.54,1393.11,96.94,79340.49,718.72,133.67,94.84,714.76,31.04,1,0,0,0,119.02,724.31,884.38,327.85,1.5,99.23,2.44,1.79,1550.33,315.18,299.82,113.44
2025-09-18T01:57:09.376118,4.45,635.27,1034.87,1366.63,322.85,14.27,Worn,1980.49,15823.19,30021.55,14.34,46.33,2.57,185.57,808.98,159.58,1428.34,106.47,79733.43,556.97,110.89,85.58,810.36,25.91,1,0,0,1,150.29,926.36,831.49,396.08,1.16,91.86,2.6,1.51,1235.2,335.97,272.57,89.85
2025-09-18T01:58:09.376118,3.89,573.88,991.92,1408.37,328.42,28.69,Good,1933.95,16570.92,32656.15,12.79,32.28,1.91,378.71,880.72,51.4,1412.12,102.52,71999.62,661.29,125.29,86.32,752.35,26.03,0,1,1,0,143.82,771.61,860.5,398.39,2.61,95.29,2.67,1.33,1931.76,331.08,269.53,90.58
2025-09-18T01:59:09.376118,4.33,598.48,965.54,1378.18,281.59,16.86,Critical,1926.85,16319.92,34885.32,17.43,42.31,1.18,227.07,683.0,50.53,1427.11,105.48,75239.11,722.37,127.58,89.28,701.45,26.13,0,0,1,0,142.98,520.91,872.93,393.31,2.94,90.4,2.36,1.52,1666.93,406.1,189.97,114.99
2025-09-18T02:00:09.376118,4.46,599.9,1042.58,1373.67,274.38,26.0,Good,1976.28,15123.93,37365.64,13.99,46.54,2.6,359.22,843.22,90.02,1428.74,84.32,87443.34,757.58,111.12,93.17,769.05,29.58,0,0,0,0,139.85,639.3,813.88,377.33,1.7,95.09,2.68,1.77,1331.15,308.28,269.26,90.45
2025-09-18T02:01:09.376118,3.87,646.71,953.83,1409.66,301.85,25.73,Worn,1921.24,17557.12,33851.95,15.46,12.74,2.42,100.51,877.67,130.77,1421.94,109.68,83412.57,609.27,103.5,91.64,749.53,29.71,0,1,1,1,132.62,848.6,910.88,319.18,2.33,93.79,2.75,0.76,1569.11,421.82,258.43,92.15
