timestamp,limestone_feed_tph,clay_feed_tph,iron_ore_feed_tph,gypsum_feed_tph,laterite_feed_tph,limestone_moisture_pct,clay_moisture_pct,avg_particle_size_mm,CaO_pct,SiO2_pct,Al2O3_pct,Fe2O3_pct,MgO_pct,crusher_power_kw,conveyor_speed_mps,CO2_emission_kgph,dust_concentration_mgpm3,crusher_status,energy_consumption_kwh,moisture_content_pct
2025-09-18 00:00:00,215.86,66.73,12.28,5.46,2.55,4.76,13.08,22.46,42.21,13.25,2.12,2.86,0.84,421.64,2.32,178.59,78.65,1,115.12,13.36
2025-09-18 01:00:00,242.1,59.1,14.35,7.88,3.96,3.42,13.17,41.57,43.86,12.14,3.3,3.64,1.48,425.55,1.51,207.14,65.7,1,138.91,7.79
2025-09-18 02:00:00,217.72,76.2,7.09,3.99,5.72,5.82,12.12,38.19,43.61,14.54,2.72,3.45,1.58,416.84,1.4,238.96,33.73,0,187.21,13.79
2025-09-18 03:00:00,229.3,47.44,10.55,4.06,5.95,3.01,10.22,46.58,44.3,13.4,2.57,2.94,1.36,353.37,1.49,209.33,53.61,0,122.4,12.31
2025-09-18 04:00:00,292.46,60.94,7.09,6.01,2.51,3.06,9.75,42.59,44.43,13.97,4.1,3.45,0.56,391.43,1.13,176.17,50.52,1,174.63,14.51
2025-09-18 05:00:00,295.08,48.01,8.36,4.32,4.2,5.84,13.5,30.0,42.3,12.72,2.43,2.6,1.03,378.05,2.29,238.92,70.2,1,153.15,6.63
2025-09-18 06:00:00,294.19,55.7,14.3,4.9,5.99,5.44,13.04,34.33,42.21,14.03,4.54,3.62,0.6,409.64,1.66,214.55,31.96,1,148.7,8.55
2025-09-18 07:00:00,271.34,55.07,7.06,4.95,5.42,5.31,9.91,48.41,42.01,14.5,2.91,3.85,0.83,429.29,1.41,244.2,40.12,0,167.77,11.73
2025-09-18 08:00:00,219.26,65.01,5.59,4.19,4.24,5.37,11.38,43.3,44.8,13.51,3.94,2.59,1.11,393.8,1.78,169.0,48.44,0,121.66,5.48
2025-09-18 09:00:00,270.15,66.51,5.46,3.5,3.29,5.59,10.36,33.48,42.69,12.23,2.94,2.72,0.73,374.4,2.03,223.88,53.15,0,165.93,10.55
2025-09-18 10:00:00,221.67,56.5,7.14,7.51,4.54,3.31,9.24,23.7,43.01,14.19,3.59,3.73,1.35,395.84,1.47,190.75,39.83,0,127.2,12.86
2025-09-18 11:00:00,211.33,40.02,13.61,3.58,3.6,4.96,11.46,38.42,42.73,14.77,3.27,2.31,1.05,393.5,1.45,188.34,61.56,0,138.8,12.64
2025-09-18 12:00:00,276.94,75.22,8.35,4.2,4.09,5.8,14.6,38.55,42.43,14.25,3.57,2.75,0.63,443.07,1.43,218.16,79.7,1,161.06,9.16
2025-09-18 13:00:00,328.31,76.94,6.54,7.05,5.63,4.27,12.06,36.83,42.96,13.96,2.2,3.78,1.49,438.8,1.32,198.65,59.22,0,106.61,8.87
2025-09-18 14:00:00,246.99,78.17,5.42,5.16,4.97,5.11,10.72,45.11,43.56,14.26,4.08,2.3,1.92,314.6,1.74,230.67,52.98,0,176.37,6.23
2025-09-18 15:00:00,343.77,40.78,9.52,5.08,5.99,5.99,13.94,38.21,44.21,13.34,2.8,2.58,0.57,443.74,1.63,150.65,52.15,1,138.12,8.1
2025-09-18 16:00:00,229.32,57.05,12.69,4.34,5.17,4.23,10.18,43.31,42.9,13.24,2.36,3.51,0.56,311.17,1.6,175.76,64.28,1,135.06,6.22
2025-09-18 17:00:00,247.55,63.92,13.89,3.99,5.29,5.74,13.24,44.89,42.66,12.71,4.89,3.55,1.46,370.72,1.87,248.0,67.52,0,121.75,8.33
2025-09-18 18:00:00,203.5,47.31,12.38,5.7,4.94,5.85,11.77,41.74,44.46,12.03,3.47,3.19,1.96,384.04,1.05,162.63,31.71,1,145.73,14.14
2025-09-18 19:00:00,296.88,67.93,13.32,6.01,4.73,3.19,13.37,28.42,42.58,13.73,3.9,3.18,1.43,372.36,1.87,194.37,38.55,0,133.45,14.21
2025-09-18 20:00:00,235.16,49.68,12.55,4.56,4.42,5.97,12.23,41.24,42.98,14.62,2.45,3.16,1.8,371.75,2.41,152.71,43.02,0,167.49,7.63
2025-09-18 21:00:00,347.72,71.63,6.56,3.61,4.72,3.0,13.54,34.79,42.26,13.01,3.44,2.0,1.4,320.28,1.51,203.5,36.01,0,116.23,6.62
2025-09-18 22:00:00,242.79,54.37,5.42,3.23,2.24,3.33,9.69,27.51,44.59,14.83,3.64,3.84,0.85,349.02,2.05,215.98,63.8,0,124.12,9.52
2025-09-18 23:00:00,261.95,74.03,14.48,6.57,3.97,3.91,14.57,45.04,44.89,12.52,2.21,2.8,1.16,391.11,2.35,196.32,30.35,0,182.62,8.64
2025-09-19 00:00:00,217.87,47.75,12.03,3.76,5.98,3.11,8.07,31.71,44.43,14.87,4.64,2.17,1.28,414.06,1.64,195.08,33.41,0,177.41,14.04
2025-09-19 01:00:00,202.5,67.93,9.71,5.12,4.65,5.57,9.09,28.5,43.7,12.29,4.19,2.81,0.97,446.12,1.97,193.58,34.74,1,133.5,8.05
2025-09-19 02:00:00,249.88,78.43,6.98,6.18,4.97,5.91,13.14,47.9,42.02,13.71,4.15,3.46,1.98,421.64,2.13,206.76,77.68,1,104.04,9.17
2025-09-19 03:00:00,297.41,56.45,9.62,3.97,3.61,5.01,12.83,30.13,44.24,14.56,3.58,3.6,0.5,380.73,2.13,190.11,73.61,0,191.59,14.61
2025-09-19 04:00:00,229.4,47.83,10.86,3.66,2.95,5.39,13.35,49.06,42.74,12.82,4.3,2.94,0.58,361.95,1.49,237.57,76.36,1,102.63,13.31
2025-09-19 05:00:00,253.62,77.77,14.2,4.38,4.09,4.45,12.51,40.83,43.01,14.87,3.87,3.61,0.83,416.44,1.09,239.3,69.06,1,151.99,11.19
2025-09-19 06:00:00,256.67,48.43,10.76,6.33,5.3,5.57,12.02,29.61,42.32,13.02,3.59,3.5,1.1,331.32,1.71,209.13,68.72,0,166.0,5.49
2025-09-19 07:00:00,319.8,63.56,10.42,3.81,2.78,4.19,14.07,30.5,44.5,13.95,2.63,3.73,0.78,406.39,2.43,240.58,52.99,0,195.52,11.49
2025-09-19 08:00:00,252.52,71.67,9.61,7.34,2.22,3.85,11.48,21.23,44.29,12.63,4.05,2.77,0.72,301.29,1.02,179.9,42.5,1,187.35,12.03
