timestamp,mill_motor_power_kw,mill_outlet_temp_c,mill_feed_rate_tph,mill_vibration_mm_s,separator_speed_rpm,separator_efficiency_pct,separator_motor_status,gypsum_feed_rate_tph,flyash_feed_rate_tph,slag_feed_rate_tph,additive_blending_ratio,fineness_blaine_cm2_g,residue_45_micron_pct,cement_temp_c,specific_power_consumption_kwh_t,mill_high_vibration_alarm,separator_blockage_alarm,mill_overload_alarm,separator_efficiency_drop_alarm,clinker_feed_tph,additive_feed_tph,cement_mill_power_kw,cement_mill_outlet_temp_c,cement_strength_3d_mpa,cement_strength_28d_mpa,cement_mill_vibration_mm
2025-09-18T01:52:12.466208,3459.14,95.63,136.5,1.45,1047.29,83.53,0,4.18,0.64,2.81,0.15,3221.41,11.93,112.9,32.91,1,0,1,1,180.94,5.06,4611.64,110.94,23.4,43.11,2.91
2025-09-18T01:53:12.466208,3004.89,97.32,125.8,2.69,1020.75,86.14,1,4.07,19.46,11.36,0.21,3380.58,12.33,116.54,32.04,0,0,0,1,198.52,13.55,4732.97,101.4,24.53,56.68,1.33
2025-09-18T01:54:12.466208,3032.91,111.75,162.11,2.37,914.28,82.7,0,3.33,7.59,29.69,0.23,3189.86,12.79,116.07,33.43,0,0,1,1,126.77,7.11,4885.82,116.29,23.15,53.11,1.79
2025-09-18T01:55:12.466208,3871.82,106.47,135.89,1.49,1012.27,75.25,1,4.8,7.99,6.58,0.3,3156.67,8.64,96.18,28.77,0,1,0,1,138.16,14.96,4058.23,119.13,28.61,40.23,2.44
2025-09-18T01:56:12.466208,3522.57,108.42,136.01,2.28,922.31,78.7,1,3.01,14.44,21.59,0.29,3333.37,11.55,97.66,32.38,0,0,1,0,153.94,12.79,4060.71,90.02,23.24,40.39,2.86
2025-09-18T01:57:12.466208,3818.08,115.79,138.45,1.12,1075.6,88.94,0,4.46,16.32,29.34,0.21,2888.03,12.62,118.67,29.16,1,0,0,1,139.9,11.72,3746.84,116.99,24.51,44.96,1.13
2025-09-18T01:58:12.466208,2531.55,108.85,155.31,1.01,1041.57,71.18,0,4.81,17.19,2.13,0.15,3268.28,9.5,98.31,34.55,1,0,1,1,119.04,5.97,3862.1,102.71,24.67,54.58,2.35
2025-09-18T01:59:12.466208,3976.25,97.46,144.16,1.68,1072.33,74.97,0,4.07,2.8,5.5,0.19,3412.14,8.53,115.2,33.99,0,0,0,0,192.64,13.49,3332.62,104.57,22.14,48.02,1.12
2025-09-18T02:00:12.466208,3068.46,119.63,135.91,2.57,991.0,78.46,1,3.31,5.93,29.06,0.22,3179.54,13.24,96.43,32.09,0,0,0,0,106.85,5.68,4723.64,102.11,29.42,51.39,2.16
2025-09-18T02:01:12.466208,2559.61,97.05,159.44,2.13,963.27,75.22,1,3.48,7.92,20.15,0.16,3021.32,13.26,96.81,31.21,0,0,0,1,113.25,8.49,3137.58,97.33,22.85,48.76,2.09
2025-09-18T02:02:12.466208,2953.78,119.6,168.43,2.06,1033.57,81.09,0,4.88,2.69,3.46,0.12,3187.26,9.91,110.12,33.02,0,1,1,1,190.53,13.46,3184.6,102.71,22.77,40.07,2.54
2025-09-18T02:03:12.466208,3455.67,101.55,164.47,2.1,985.54,70.19,0,4.89,13.82,4.47,0.11,3058.45,11.87,105.74,28.29,1,0,1,0,168.21,11.67,3707.36,106.8,28.75,59.48,2.5
2025-09-18T02:04:12.466208,3888.65,100.92,129.75,2.6,935.41,78.25,0,4.47,6.64,27.92,0.26,3404.84,13.68,101.67,33.51,0,1,0,1,122.24,13.17,3920.61,99.16,27.95,44.55,1.05
2025-09-18T02:05:12.466208,2789.69,103.21,171.86,2.93,955.82,82.83,1,4.36,16.87,9.93,0.11,3413.93,9.83,109.51,34.88,0,0,1,1,172.85,8.14,4212.42,105.34,23.85,51.53,1.51
2025-09-18T02:06:12.466208,3563.18,95.04,175.53,2.08,1043.89,84.84,0,3.73,1.4,19.93,0.17,3019.74,13.94,112.99,30.1,1,1,1,1,169.72,10.54,3383.68,109.95,23.79,54.96,1.35
2025-09-18T02:07:12.466208,3353.66,105.15,170.02,1.61,942.04,85.72,1,3.93,8.84,6.41,0.19,3430.83,13.57,99.24,28.59,1,0,0,1,122.46,6.99,3048.85,97.35,24.75,56.99,1.15
2025-09-18T02:08:12.466208,3121.66,110.74,131.67,2.39,998.88,74.88,0,4.79,17.21,26.56,0.26,2953.19,13.63,112.4,31.25,0,0,1,0,180.14,11.68,4975.78,107.86,29.5,57.83,2.23
2025-09-18T02:09:12.466208,3578.91,107.62,169.83,2.1,1079.44,84.87,1,3.9,15.04,25.2,0.16,3344.37,11.39,100.98,31.08,1,0,1,1,131.97,10.4,3276.75,96.94,26.94,54.13,1.13
2025-09-18T02:10:12.466208,3111.4,108.57,144.95,1.41,984.03,88.1,0,4.71,15.31,11.41,0.1,3046.23,13.27,116.34,34.67,1,0,1,0,127.29,9.86,3777.71,110.07,27.98,54.48,2.68
2025-09-18T02:11:12.466208,3879.31,119.52,152.05,2.81,1018.38,83.26,0,4.29,2.71,13.85,0.11,3065.37,9.48,103.17,33.33,1,1,1,1,183.49,9.7,4498.05,91.56,29.52,44.48,1.14
2025-09-18T02:12:12.466208,3935.93,96.01,121.86,1.49,1067.85,82.43,0,3.25,13.39,16.92,0.14,3289.63,13.37,99.19,32.25,0,0,1,0,157.87,14.29,4151.59,117.24,23.75,58.83,1.4
2025-09-18T02:13:12.466208,3388.15,115.76,134.57,2.39,960.32,83.69,0,4.59,11.32,1.23,0.21,3263.06,8.48,111.19,28.09,1,1,0,1,196.08,11.36,4657.41,111.22,24.35,54.68,2.93
2025-09-18T02:14:12.466208,2905.12,115.2,152.29,1.97,987.11,84.62,1,3.64,4.91,28.04,0.16,3115.56,13.25,109.25,32.68,1,0,1,1,118.18,7.12,4595.66,100.21,28.8,54.02,1.55
2025-09-18T02:15:12.466208,2515.23,118.7,125.14,2.44,997.72,85.16,1,4.29,9.82,23.79,0.12,2955.12,12.84,102.66,32.07,1,1,1,1,135.18,9.54,3613.25,96.92,27.21,46.31,2.49
2025-09-18T02:16:12.466208,3926.32,112.25,131.49,2.48,955.3,81.79,1,4.96,16.65,8.89,0.17,3011.59,12.96,98.16,28.32,0,1,0,1,110.26,5.12,3568.68,104.36,23.41,59.31,1.5
2025-09-18T02:17:12.466208,3792.58,97.85,123.92,1.98,1015.4,83.73,0,3.3,11.26,9.12,0.3,2882.92,13.35,110.16,33.54,0,1,1,1,129.74,10.89,3857.66,107.06,20.6,59.2,1.2
2025-09-18T02:18:12.466208,3644.11,110.64,135.88,1.16,947.97,81.04,0,3.01,9.01,17.81,0.16,2962.03,12.95,112.57,31.18,0,1,0,1,111.48,7.25,3297.98,97.97,21.42,41.19,2.59
2025-09-18T02:19:12.466208,3392.57,115.61,175.27,1.88,993.74,76.08,1,4.89,10.01,14.81,0.12,2827.9,11.02,103.06,29.75,0,0,0,1,157.62,12.63,3350.38,105.57,24.42,45.56,2.99
2025-09-18T02:20:12.466208,3153.83,115.36,178.14,1.94,981.67,76.42,0,4.72,6.6,20.81,0.16,3461.64,13.69,108.75,31.18,1,1,1,0,197.02,9.04,4029.19,119.64,26.58,50.85,1.83
2025-09-18T02:21:12.466208,2781.37,104.04,165.39,2.25,1052.0,74.07,0,4.86,8.76,20.95,0.12,3481.2,12.26,100.98,29.11,0,1,0,0,199.23,14.13,3922.9,93.52,28.32,49.97,2.43
2025-09-18T02:22:12.466208,3263.31,101.84,170.08,2.96,948.75,81.03,1,3.38,11.99,22.39,0.13,2848.87,13.41,116.36,30.38,1,0,1,1,183.75,10.8,4319.88,115.96,24.47,49.69,1.66
2025-09-18T02:23:12.466208,3644.31,104.43,175.97,2.74,1096.15,74.78,1,3.47,15.51,1.31,0.25,3293.66,13.68,104.65,32.65,0,1,0,0,150.23,10.9,4739.4,116.23,24.4,50.52,1.91
2025-09-18T02:24:12.466208,3583.67,105.25,159.29,1.31,993.9,89.38,1,4.25,7.95,2.41,0.17,3272.05,11.74,118.85,32.39,1,0,0,0,163.12,14.21,4994.85,112.4,24.34,41.97,2.27
2025-09-18T02:25:12.466208,3808.87,106.09,161.64,2.81,909.2,85.92,1,3.72,8.61,7.33,0.18,3277.26,9.26,99.38,32.27,1,0,1,0,123.22,11.38,3919.14,110.01,28.99,49.31,1.58
2025-09-18T02:26:12.466208,3319.9,96.85,176.71,2.98,959.83,89.24,1,3.91,6.04,29.98,0.27,2874.66,10.67,103.97,30.07,1,0,1,1,100.81,13.65,4556.62,119.21,29.11,54.9,2.67
2025-09-18T02:27:12.466208,3854.4,114.39,133.81,2.6,943.8,73.8,1,4.36,14.42,19.78,0.27,3239.77,14.32,111.16,30.16,1,0,1,0,109.01,7.95,4494.96,95.27,21.32,50.79,2.94
2025-09-18T02:28:12.466208,3296.28,117.84,169.83,1.51,1064.94,79.64,1,4.49,6.77,3.46,0.29,2898.53,14.77,116.5,33.07,1,1,0,1,101.39,10.37,3909.57,110.18,26.72,51.69,2.64
2025-09-18T02:29:12.466208,3910.44,97.71,134.03,1.05,1076.85,81.23,0,4.3,12.71,13.93,0.24,3254.47,8.82,96.13,28.26,1,0,0,0,188.73,6.36,3907.29,110.11,27.43,58.92,1.84
2025-09-18T02:30:12.466208,3613.4,98.86,144.89,1.2,997.87,78.16,1,3.07,7.41,13.3,0.29,3398.82,8.7,112.14,31.81,1,0,1,1,118.98,6.22,4696.07,103.64,26.63,52.83,2.19
2025-09-18T02:31:12.466208,2532.04,114.67,134.61,1.25,1012.92,71.37,0,4.17,16.26,6.99,0.25,3352.05,12.17,101.93,34.89,0,1,0,0,166.11,5.26,3029.72,113.7,22.38,46.48,1.35
2025-09-18T02:32:12.466208,2578.6,113.54,151.57,2.49,995.25,85.56,0,3.9,4.43,18.45,0.25,3436.13,12.61,102.54,32.5,0,0,1,1,142.63,6.08,4424.8,103.31,28.99,46.44,1.3
2025-09-18T02:33:12.466208,2689.29,110.61,155.12,2.42,976.18,81.95,1,3.91,12.11,2.98,0.24,3396.95,12.56,114.22,33.05,0,1,1,0,141.38,13.27,3797.46,111.89,23.13,46.25,1.51
2025-09-18T02:34:12.466208,3930.39,112.17,148.46,1.18,917.07,78.64,1,4.62,11.13,17.59,0.21,3030.75,8.86,103.84,32.66,1,0,1,1,135.16,10.78,3425.48,109.7,22.24,42.16,2.69
2025-09-18T02:35:12.466208,3051.34,114.07,154.45,2.61,1069.03,89.49,0,4.22,13.16,20.8,0.11,2991.29,13.34,118.04,30.46,0,0,1,0,114.19,11.33,3061.31,112.38,22.15,48.4,1.68
2025-09-18T02:36:12.466208,3055.08,113.04,166.61,2.14,916.99,71.05,0,4.51,1.0,2.45,0.19,3096.81,12.25,105.35,29.51,0,1,1,0,128.32,11.78,3973.27,110.01,20.45,47.91,2.2
2025-09-18T02:37:12.466208,2511.53,102.54,132.67,1.27,951.1,76.56,0,3.99,8.61,3.88,0.21,2961.08,11.91,111.7,30.48,1,0,1,0,145.98,5.78,3626.12,102.88,24.04,52.8,1.58
2025-09-18T02:38:12.466208,3107.55,119.15,130.31,2.9,992.02,83.79,1,3.18,16.89,7.3,0.22,3166.77,10.77,102.76,30.38,1,0,0,0,153.06,6.94,4552.46,100.53,29.58,52.91,1.3
2025-09-18T02:39:12.466208,2654.21,101.4,130.41,1.31,1051.83,71.51,1,3.93,11.27,17.38,0.24,3417.43,12.5,119.66,30.26,1,0,1,0,146.89,11.31,4592.66,107.74,23.52,41.48,1.92
2025-09-18T02:40:12.466208,2556.41,104.22,137.22,2.29,1095.47,71.81,1,3.93,11.09,23.75,0.28,3114.81,13.67,111.3,30.25,1,0,0,1,110.35,13.99,3686.88,111.43,25.05,43.45,1.5
2025-09-18T02:41:12.466208,3156.64,105.99,151.36,1.32,974.57,75.66,1,4.55,13.58,1.57,0.23,3034.25,10.31,108.95,30.71,1,0,1,0,158.27,6.41,3699.64,119.03,26.98,47.84,2.19
2025-09-18T02:42:12.466208,3907.0,102.74,142.6,2.58,1062.64,83.4,0,4.29,8.47,10.85,0.17,2926.18,9.5,118.69,31.4,0,0,0,0,129.58,12.88,4015.38,106.19,27.39,50.53,2.32
2025-09-18T02:43:12.466208,3814.59,110.45,155.83,1.31,936.17,83.86,0,4.44,0.87,10.93,0.24,3478.71,12.27,113.81,33.49,0,0,1,1,190.4,6.94,4356.61,107.11,24.41,55.39,2.56
2025-09-18T02:44:12.466208,3254.36,105.47,129.72,1.4,1020.93,87.46,0,4.28,17.48,16.64,0.12,3392.12,13.96,102.13,33.34,1,1,0,1,109.17,14.11,4633.41,116.54,29.3,48.3,1.79
2025-09-18T02:45:12.466208,3060.94,104.65,124.9,1.45,963.74,71.98,1,4.58,2.75,8.61,0.27,3287.25,8.97,112.64,31.14,0,0,0,1,121.57,6.5,4880.45,108.27,24.23,55.52,1.48
2025-09-18T02:46:12.466208,2682.77,100.96,158.34,2.25,912.56,86.73,1,4.19,0.33,15.46,0.15,2900.5,11.0,110.37,29.68,1,0,0,1,106.77,10.26,4014.66,119.65,25.54,47.81,1.94
2025-09-18T02:47:12.466208,3453.51,119.53,135.22,1.03,1057.7,76.9,0,4.54,14.7,9.98,0.11,3182.21,13.69,99.38,33.45,1,1,0,0,106.31,12.76,3915.36,98.8,20.44,43.99,1.08
2025-09-18T02:48:12.466208,3900.06,107.88,179.35,2.09,950.66,85.07,0,3.57,17.24,1.43,0.23,2991.25,13.6,105.92,30.8,1,1,1,0,149.62,9.98,4848.62,105.58,28.01,54.54,1.16
2025-09-18T02:49:12.466208,3403.68,115.56,152.73,1.64,916.01,83.22,1,3.89,14.35,5.0,0.19,3112.99,13.09,117.79,32.3,1,1,0,0,167.12,9.06,4026.17,112.5,21.6,40.62,2.7
2025-09-18T02:50:12.466208,3517.13,105.95,127.57,1.47,1029.03,77.24,0,4.21,13.58,28.46,0.17,3334.16,12.02,108.24,30.79,1,0,0,0,173.57,9.99,3773.97,106.85,22.62,45.21,1.89
2025-09-18T02:51:12.466208,3994.55,102.14,174.99,1.98,924.53,87.06,1,3.35,14.27,29.92,0.26,3477.29,14.91,111.7,32.97,1,1,0,0,179.37,10.09,3242.72,96.03,21.39,55.81,1.05
