timestamp,silo_level_pct,silo_pressure_mbar,silo_temp_c,aeration_airflow_nm3_hr,silo_pressure_pa,packing_machine_speed_bags_min,packing_machine_speed_bagsmin,packing_machine_efficiency_pct,packing_machine_power_kw,bag_weight_kg,bag_reject_rate_pct,rejected_bags_count,packing_machine_status,bulk_loading_rate_tph,truck_loading_time_min,inventory_turnover_rate,daily_dispatch_tonnes,dispatch_rate_tph,inventory_level_tonnes,customer_complaints_count,silo_overpressure_alarm,packing_machine_jam_alarm,truck_delay_alarm,dust_emission_mgNm3
2025-09-18T01:52:12.466208,75.17,51.75,45.5,3446.42,8682.36,107.07,115.69,85.87,71.1,49.06,0.83,4,0,206.12,25.74,1.2,2839.04,144.92,12781.91,0,0,1,1,21.11
2025-09-18T01:53:12.466208,51.84,103.44,42.04,3759.85,6794.9,93.76,90.58,85.43,72.97,49.25,1.88,0,1,232.94,24.28,1.36,3154.7,170.46,10458.24,3,1,0,0,44.66
2025-09-18T01:54:12.466208,60.91,81.74,56.68,3325.31,6776.35,106.81,108.07,91.84,53.57,50.27,1.3,1,0,196.23,19.05,1.43,3376.32,121.96,13242.83,0,0,0,1,26.05
2025-09-18T01:55:12.466208,43.64,113.92,51.34,4435.83,6063.13,99.97,115.39,91.43,57.14,49.28,1.62,4,1,224.7,21.43,1.08,2723.99,199.73,11383.32,7,0,0,0,16.11
2025-09-18T01:56:12.466208,48.8,97.63,51.93,3769.53,7979.44,98.72,90.06,90.53,97.12,50.36,0.67,4,1,226.86,20.1,0.79,2316.32,100.32,17220.92,4,0,0,1,43.67
2025-09-18T01:57:12.466208,67.92,63.92,47.48,3323.1,9767.5,116.9,116.74,90.99,74.43,49.22,1.04,2,0,155.79,28.17,1.45,2171.31,148.6,10692.13,8,0,0,1,47.87
2025-09-18T01:58:12.466208,49.08,86.94,52.13,4928.73,9644.57,110.21,107.59,92.13,69.95,50.34,1.06,4,1,162.1,18.37,0.84,3176.62,123.01,12202.17,1,0,0,0,46.22
2025-09-18T01:59:12.466208,87.28,54.96,44.76,4337.96,6071.18,85.29,117.42,90.71,73.63,50.57,1.71,1,0,159.69,21.47,0.92,2934.05,172.91,16733.65,10,0,0,1,39.13
2025-09-18T02:00:12.466208,84.03,57.65,43.83,4072.57,5700.91,87.34,98.51,93.74,53.77,50.62,1.78,0,0,215.21,23.11,0.51,2186.53,175.36,12363.79,6,1,1,0,44.59
2025-09-18T02:01:12.466208,89.63,61.52,40.04,3780.84,9632.59,111.41,91.41,91.97,86.53,50.57,1.49,3,0,168.99,18.27,0.56,3471.47,106.1,13136.05,0,1,0,0,48.43
2025-09-18T02:02:12.466208,44.41,63.01,51.9,4350.43,6176.02,84.8,115.61,87.46,79.73,50.24,1.13,4,1,243.47,18.06,1.22,2477.37,139.58,16716.9,4,1,1,0,10.37
2025-09-18T02:03:12.466208,74.16,89.41,42.0,4075.27,7529.42,85.3,93.96,85.69,62.21,49.57,1.16,4,1,211.17,29.81,1.15,2015.65,181.71,12993.79,10,0,0,1,14.62
2025-09-18T02:04:12.466208,45.89,88.73,45.45,4209.66,8588.06,88.14,105.37,87.64,74.43,50.81,1.77,0,1,232.93,15.66,0.83,2261.64,197.98,11615.82,7,1,0,0,13.01
2025-09-18T02:05:12.466208,88.57,113.28,50.91,4669.19,7912.55,85.92,85.1,88.08,94.95,50.59,1.79,2,0,218.21,25.0,0.85,3119.77,187.47,19738.37,2,0,0,0,45.26
2025-09-18T02:06:12.466208,41.36,101.56,46.64,4861.63,9011.18,114.56,112.43,87.67,89.37,49.22,1.81,3,0,169.96,28.78,0.85,3641.07,187.13,12229.24,10,0,1,1,21.14
2025-09-18T02:07:12.466208,43.82,104.13,47.02,4018.81,8397.59,113.75,93.25,85.28,93.85,49.52,1.37,2,0,160.84,21.52,1.23,2627.35,160.62,15114.23,6,0,1,0,38.35
2025-09-18T02:08:12.466208,40.09,114.79,50.77,4438.86,8709.75,106.83,94.57,85.7,83.21,49.66,0.97,0,1,200.71,25.0,0.83,3394.42,155.44,11918.4,10,1,0,1,26.24
2025-09-18T02:09:12.466208,85.85,71.27,44.2,4571.52,8033.31,92.89,97.67,91.76,75.56,50.59,1.94,5,0,215.89,19.26,1.16,3238.52,109.34,19520.0,3,1,0,0,15.89
2025-09-18T02:10:12.466208,42.54,118.88,52.23,4536.98,7277.08,115.45,103.03,92.18,69.2,49.8,0.72,5,0,239.27,27.91,1.39,3556.84,121.88,18041.1,8,1,0,0,46.7
