timestamp,mill_power_kw,mill_motor_load_pct,mill_outlet_temp_c,mill_feed_rate_tph,raw_mill_feed_tph,raw_mill_power_kw,separator_speed_rpm,separator_efficiency_pct,residue_on_90um_pct,residue_on_212um_pct,separator_motor_status,preheater_inlet_temp_c,preheater_outlet_temp_c,cyclone_pressure_drop_mbar,preheater_O2_pct,preheater_CO_pct,gas_flow_rate_nm3h,dust_load_mgNm3,preheater_cyclone_efficiency_pct,co2_pct,co_ppm,so2_ppm,no_x_ppm,specific_power_consumption_kwh_t,separator_fan_power_kw,preheater_fan_power_kw,high_temp_alarm,high_vibration_alarm,separator_blockage_alarm,fan_failure_alarm
2025-09-18T21:49:09.808032,4147.66,94.31,114.37,238.36,244.66,344.78,994.9,86.07,9.05,4.6,1,327.01,880.22,92.41,2.5,0.5,12436.52,16.7,94.97,13.83,81.5,11.44,162.42,26.77,85.26,174.95,0,0,0,0
2025-09-18T21:49:09.808080,4818.95,90.65,93.63,230.61,186.77,362.04,1047.17,78.12,12.38,3.33,1,386.28,800.46,78.45,4.72,0.36,12022.21,15.73,90.22,12.29,90.27,10.33,197.89,28.63,72.63,129.24,0,1,0,0
2025-09-18T21:49:09.808099,4520.4,92.65,90.13,231.5,207.14,441.22,1007.43,71.27,9.12,2.76,1,353.87,800.5,69.17,3.45,0.19,17277.22,45.21,88.82,13.46,99.7,15.06,121.59,25.96,62.57,102.09,1,0,0,0
2025-09-18T21:49:09.808116,4259.85,79.16,95.59,193.07,212.33,385.96,1053.42,77.47,11.21,3.19,1,387.19,873.35,80.16,2.04,0.36,10926.75,15.8,94.49,13.88,51.39,19.89,123.37,26.99,67.65,172.46,1,1,0,0
2025-09-18T21:49:09.808133,3631.29,85.87,110.48,185.73,184.83,495.76,986.84,81.55,12.45,3.23,0,300.89,830.02,70.55,3.14,0.25,12523.54,12.51,92.62,12.01,93.03,14.24,199.71,20.49,85.61,177.05,0,1,1,0
2025-09-18T21:49:09.808150,3999.9,86.04,101.41,208.95,182.27,362.01,987.43,76.41,6.24,2.81,0,310.79,839.21,79.86,3.82,0.43,16985.88,39.05,91.89,11.43,50.88,13.91,163.64,20.52,65.22,123.19,0,0,0,1
2025-09-18T21:49:09.808169,4478.71,86.28,109.14,227.2,248.6,344.47,1030.93,72.93,10.75,3.96,0,394.24,806.82,93.05,4.23,0.38,12410.18,20.32,89.3,10.18,50.84,15.23,107.88,28.24,62.28,154.14,1,1,1,0
2025-09-18T21:49:09.808186,3995.76,74.22,94.95,238.8,160.35,484.01,1094.33,85.53,14.18,2.31,0,353.86,885.02,60.8,4.07,0.32,17094.72,13.53,86.82,11.89,71.8,14.3,102.37,29.32,54.71,102.13,1,1,1,0
2025-09-18T21:49:09.808203,4331.79,92.23,95.91,198.76,168.32,442.16,943.16,80.85,14.13,2.54,0,302.48,834.48,73.87,2.45,0.5,12582.5,34.94,86.98,11.57,93.85,14.6,153.32,27.32,91.86,148.74,1,1,1,1
2025-09-18T21:49:09.808221,4660.13,81.9,100.8,241.32,151.72,361.89,1007.66,72.99,12.72,3.1,0,367.49,826.8,72.95,2.42,0.15,14250.84,33.37,85.14,14.95,86.69,19.39,151.57,27.72,94.95,158.08,1,0,1,1
2025-09-18T21:49:09.808238,3879.8,73.0,109.04,230.15,210.18,366.31,997.45,71.74,5.79,1.08,0,335.95,889.01,97.09,4.21,0.13,14005.14,41.43,94.24,14.97,54.15,15.97,138.71,25.43,63.08,182.16,1,0,1,1
2025-09-18T21:49:09.808272,3972.42,76.93,94.83,220.57,230.11,426.33,1047.98,70.01,14.04,4.13,0,370.06,810.03,61.09,4.4,0.28,17471.69,12.18,89.77,10.22,81.26,13.03,161.04,22.59,64.19,157.95,1,1,1,0
2025-09-18T21:49:09.808289,4037.02,73.45,104.11,194.43,198.49,447.04,943.32,84.77,14.05,3.13,1,380.75,812.33,57.09,4.48,0.46,11489.65,25.12,88.66,12.17,57.39,13.71,153.15,23.09,78.79,198.78,1,1,0,0
2025-09-18T21:49:09.808306,3833.67,87.08,93.8,210.96,170.12,332.99,1072.28,77.36,13.43,4.23,1,338.13,843.83,53.93,3.94,0.18,14307.2,42.28,93.68,10.72,95.76,10.25,104.8,23.58,65.27,101.63,0,1,0,1
2025-09-18T21:49:09.808322,3924.88,79.81,112.34,231.14,224.48,450.3,903.05,71.5,10.93,1.8,0,313.92,885.72,75.53,4.92,0.3,17380.4,18.6,93.68,11.26,90.11,19.97,117.69,28.64,65.34,110.25,0,0,0,0
2025-09-18T21:49:09.808339,4104.7,74.23,91.38,221.07,238.6,387.45,947.17,85.28,11.56,2.63,1,308.3,884.02,51.51,2.71,0.45,16708.86,19.67,91.6,10.86,68.24,18.69,125.83,26.52,56.86,124.49,0,0,1,0
2025-09-18T21:49:09.808356,4053.63,94.43,98.04,217.0,164.3,486.58,939.69,72.48,12.12,3.98,1,320.79,864.02,68.59,2.81,0.13,12566.41,33.37,90.93,10.67,94.89,11.51,114.3,29.47,54.37,107.47,0,0,1,0
2025-09-18T21:49:09.808372,3562.78,90.5,90.68,180.13,192.81,447.61,1078.72,72.85,14.07,2.24,1,307.71,847.77,78.83,4.5,0.41,10154.57,21.74,86.16,13.04,67.48,15.28,102.59,20.74,90.0,103.38,0,1,1,0
2025-09-18T21:49:09.808389,3582.3,72.55,101.96,234.13,204.09,443.28,927.76,71.46,13.01,3.85,0,375.26,839.25,59.48,2.09,0.33,15150.86,45.43,85.27,11.87,72.42,13.34,111.31,27.13,86.95,105.07,0,1,1,1
2025-09-18T21:49:09.808405,3931.13,75.15,95.9,223.69,214.25,483.06,1010.97,80.83,10.51,3.98,0,379.13,852.9,78.49,4.92,0.46,12130.96,22.38,91.09,10.94,54.0,10.11,197.69,27.48,85.29,173.01,0,0,1,0
2025-09-18T21:49:09.808422,4471.25,91.38,103.07,221.8,182.9,361.14,1017.1,71.92,9.75,1.82,1,364.19,862.96,79.44,2.55,0.35,14170.32,49.22,92.99,10.85,86.18,18.94,178.88,21.21,64.16,155.14,0,1,0,1
2025-09-18T21:49:09.808439,4501.69,79.92,115.21,238.25,184.44,353.96,1069.35,70.09,10.93,1.66,1,357.48,873.29,53.49,4.07,0.33,18460.37,38.48,85.87,11.87,60.28,19.55,133.93,21.28,50.59,145.66,1,0,1,1
2025-09-18T21:49:09.808455,4632.69,93.5,107.82,246.02,226.57,318.47,962.46,75.72,12.32,2.77,1,347.77,821.84,96.05,3.91,0.22,10448.73,31.89,86.58,14.75,53.91,12.75,170.01,29.44,92.68,146.81,0,1,1,0
2025-09-18T21:49:09.808472,4944.08,77.88,106.87,206.91,158.43,412.32,1029.33,84.91,12.33,2.9,1,321.55,823.05,77.43,2.61,0.31,19028.67,34.77,88.12,11.97,60.91,12.85,134.25,22.53,56.01,113.89,0,0,1,1
