timestamp,kiln_speed_rpm,kiln_main_drive_power_kw,kiln_inlet_temp_c,kiln_outlet_temp_c,kiln_shell_temp_c,kiln_coating_thickness_mm,kiln_refractory_status,burner_flame_temp_c,primary_air_flow_nm3_hr,secondary_air_flow_nm3_hr,coal_feed_rate_tph,oil_injection_lph,kiln_exit_o2_pct,kiln_exit_co_ppm,kiln_exit_no_x_ppm,kiln_exit_so2_ppm,cooler_inlet_temp_c,cooler_outlet_temp_c,cooler_air_flow_nm3_hr,cooler_fan_power_kw,clinker_discharge_rate_tph,cooler_efficiency_pct,specific_heat_consumption_kcal_kg,kiln_specific_power_kwht,high_co_alarm,flame_instability_alarm,kiln_vibration_alarm,cooler_fan_failure_alarm,kiln_feed_tph,kiln_main_burner_fuel_kgph,kiln_secondary_air_temp_c,kiln_exit_gas_temp_c,kiln_O2_pct,clinker_quality_lsf,clinker_quality_silica_modulus,clinker_free_lime_pct,cooler_pressure_drop_pa,kiln_NOx_ppm,kiln_CO_ppm,cooler_exit_temp_c
2025-09-18T21:49:09.813577,3.94,567.89,1002.15,1402.35,280.52,11.04,Critical,1583.3,5428.16,13511.29,16.47,92.92,3.56,93.66,145.0,18.53,310.43,178.61,8468.97,68.59,171.97,90.82,706.6,24.65,1,1,0,1,195.95,1658.1,812.06,338.46,3.38,98.4,2.18,1.2,124.16,150.41,54.54,192.15
2025-09-18T21:49:09.813637,3.34,603.52,971.12,1362.24,356.79,11.24,Good,1548.21,9992.03,17562.67,13.77,91.47,3.19,88.12,121.07,10.32,346.86,197.29,7637.41,67.2,153.88,87.67,776.75,21.93,1,0,0,1,170.92,1206.61,855.03,312.27,3.11,98.48,2.24,1.91,194.73,189.56,85.31,142.1
2025-09-18T21:49:09.813663,4.03,544.41,1018.13,1380.69,261.06,11.34,Worn,1585.52,7106.62,10431.67,10.97,62.23,2.65,81.61,109.78,16.27,346.82,128.41,5573.59,89.43,181.8,92.14,777.24,27.53,1,0,1,0,197.21,1606.73,840.47,329.27,4.83,95.38,2.83,1.1,111.06,144.79,97.51,175.2
2025-09-18T21:49:09.813687,4.31,629.92,1003.31,1379.91,251.73,26.88,Worn,1534.77,6613.24,17661.26,12.35,62.81,4.9,55.92,119.28,12.24,332.92,175.14,7160.6,53.69,120.45,89.6,753.29,22.41,1,0,1,0,167.71,1845.43,882.2,389.28,3.67,97.99,2.55,1.62,108.15,155.99,67.07,173.07
2025-09-18T21:49:09.813711,3.43,525.82,1034.08,1401.77,331.24,18.96,Good,1504.41,9372.06,11261.64,13.41,52.08,4.67,53.24,169.61,14.68,399.96,151.49,9972.17,52.13,193.7,91.14,754.09,22.34,0,1,0,1,151.19,1557.8,845.85,363.74,4.07,98.84,2.5,1.02,150.44,120.02,95.07,169.62
2025-09-18T21:49:09.813733,3.54,570.1,971.57,1375.95,399.61,22.76,Good,1568.36,8463.11,14248.97,13.94,83.4,2.54,64.38,183.15,12.73,304.82,131.54,7098.54,59.56,188.51,93.33,786.42,23.87,0,1,0,0,156.09,1603.04,815.87,304.8,3.63,92.89,2.06,1.77,152.23,169.03,92.15,141.47
2025-09-18T21:49:09.813756,3.65,610.24,1037.0,1386.55,263.17,15.2,Good,1596.25,6817.57,13816.01,12.56,70.69,2.17,64.92,129.25,18.02,312.32,194.93,7980.22,91.44,142.3,90.99,740.25,25.27,0,1,1,1,169.72,1613.5,893.47,325.43,2.72,94.67,2.78,1.65,166.86,151.33,53.0,141.77
2025-09-18T21:49:09.813779,3.71,540.67,954.25,1418.13,307.02,22.01,Worn,1562.5,5313.93,10098.62,13.88,98.46,4.92,54.82,120.54,17.58,358.46,169.8,8878.33,59.14,152.65,89.07,759.77,21.71,0,0,0,1,179.55,1202.68,842.94,351.66,2.71,96.85,2.65,1.62,149.0,163.05,54.47,123.42
2025-09-18T21:49:09.813801,4.48,624.34,1043.69,1404.19,282.59,27.94,Worn,1533.19,8883.11,15537.37,14.8,69.12,3.97,54.45,102.01,14.72,355.82,121.85,5700.43,92.19,150.61,93.75,770.29,22.67,0,0,1,1,172.29,1115.87,888.21,392.5,4.3,92.27,2.82,1.46,159.53,164.25,84.45,120.09
2025-09-18T21:49:09.813824,4.47,596.94,967.84,1353.55,358.05,10.7,Critical,1539.2,5163.57,13849.53,19.88,90.99,4.83,72.5,159.71,15.2,314.8,167.42,7859.54,96.93,103.53,94.19,769.51,22.41,0,0,0,0,176.4,1002.5,802.7,301.41,3.91,96.38,2.99,1.21,114.16,110.71,78.5,117.71
