timestamp,mill_motor_power_kw,mill_outlet_temp_c,mill_feed_rate_tph,mill_vibration_mm_s,separator_speed_rpm,separator_efficiency_pct,separator_motor_status,gypsum_feed_rate_tph,flyash_feed_rate_tph,slag_feed_rate_tph,additive_blending_ratio,fineness_blaine_cm2_g,residue_45_micron_pct,cement_temp_c,specific_power_consumption_kwh_t,mill_high_vibration_alarm,separator_blockage_alarm,mill_overload_alarm,separator_efficiency_drop_alarm,clinker_feed_tph,additive_feed_tph,cement_mill_power_kw,cement_mill_outlet_temp_c,cement_strength_3d_mpa,cement_strength_28d_mpa,cement_mill_vibration_mm
2025-09-18T21:49:09.820654,3384.69,101.52,156.64,1.67,988.4,78.48,0,9.73,13.03,11.8,0.12,3283.3,9.67,84.25,21.94,1,1,1,0,101.53,11.09,346.68,98.96,24.02,43.23,1.07
2025-09-18T21:49:09.820700,3872.65,103.44,121.94,2.86,933.01,88.55,0,9.57,9.47,6.7,0.38,3862.0,8.45,83.38,21.59,0,1,1,0,100.84,15.77,305.76,97.63,21.98,45.09,2.51
2025-09-18T21:49:09.820718,3021.86,111.82,124.41,2.36,932.93,80.09,1,9.82,11.66,9.26,0.3,3550.86,8.69,85.97,27.52,0,1,1,0,119.6,19.79,389.13,105.05,23.95,48.23,1.46
2025-09-18T21:49:09.820733,3216.86,106.83,139.7,2.03,1090.85,80.13,0,6.89,14.56,9.87,0.34,3149.76,6.68,92.61,26.39,0,0,0,1,105.48,15.73,484.67,109.66,25.32,40.71,1.38
2025-09-18T21:49:09.820748,3147.03,96.26,137.08,2.41,1089.66,82.38,0,13.98,13.85,10.63,0.19,3881.69,5.88,95.55,26.39,0,0,0,1,149.94,17.67,306.55,93.98,29.12,40.92,1.87
2025-09-18T21:49:09.820764,3558.74,115.05,135.87,1.43,912.49,85.66,0,14.92,13.08,8.35,0.43,3419.48,6.37,92.94,28.44,0,0,0,0,142.2,14.29,453.4,95.38,25.61,49.76,1.95
2025-09-18T21:49:09.820780,2593.51,113.11,132.91,1.15,1031.47,86.02,1,10.28,9.49,7.66,0.45,3093.85,9.55,92.44,28.04,1,0,0,1,134.42,16.93,319.19,106.57,21.32,47.93,2.45
2025-09-18T21:49:09.820795,3988.76,113.35,127.49,1.01,1037.59,79.88,1,6.15,5.41,11.75,0.16,3111.23,6.23,92.87,25.72,0,1,1,0,117.51,11.13,388.57,95.51,21.4,46.66,1.05
2025-09-18T21:49:09.820810,3158.89,118.03,173.35,2.19,1026.16,72.31,0,9.36,8.61,7.3,0.27,3701.87,7.66,87.87,29.11,0,0,0,1,148.95,17.25,414.93,90.82,28.79,43.06,1.43
2025-09-18T21:49:09.820825,3848.49,113.06,138.12,1.74,976.1,70.08,1,9.68,7.49,5.69,0.11,3107.9,5.17,93.88,26.59,0,0,1,0,148.17,17.41,470.05,94.08,21.89,49.64,2.3
