timestamp,silo_level_pct,silo_pressure_mbar,silo_temp_c,aeration_airflow_nm3_hr,silo_pressure_pa,packing_machine_speed_bags_min,packing_machine_efficiency_pct,packing_machine_power_kw,bag_weight_kg,bag_reject_rate_pct,rejected_bags_count,packing_machine_status,bulk_loading_rate_tph,truck_loading_time_min,inventory_turnover_rate,daily_dispatch_tonnes,dispatch_rate_tph,inventory_level_tonnes,customer_complaints_count,silo_overpressure_alarm,packing_machine_jam_alarm,truck_delay_alarm,dust_emission_mgNm3
2025-09-18T21:49:09.825901,58.56,68.56,44.77,4959.17,6239.25,95.68,86.62,71.47,51.4,3.2,6,0,174.35,13.28,2.55,1225.04,151.03,828.68,1,1,0,1,35.92
2025-09-18T21:49:09.825945,83.16,74.25,49.52,3814.4,7118.98,97.26,86.59,68.96,51.7,1.48,3,1,158.76,19.85,2.56,1996.03,164.39,723.42,4,1,0,0,11.24
2025-09-18T21:49:09.825961,65.08,107.26,53.8,4466.88,8488.34,113.9,89.09,50.77,54.73,3.29,7,0,105.91,17.03,1.13,1827.31,195.21,957.17,3,0,0,1,19.28
2025-09-18T21:49:09.825975,81.55,119.49,57.92,3379.45,5623.5,106.4,93.5,67.77,54.95,4.94,5,0,196.63,13.06,3.86,1712.57,112.41,737.65,3,1,0,0,37.81
2025-09-18T21:49:09.825989,44.6,85.71,59.97,4660.93,9557.82,100.27,86.89,71.5,51.65,3.46,3,1,154.63,14.71,3.13,1465.63,179.67,788.78,2,1,0,0,15.54
2025-09-18T21:49:09.826003,62.76,84.53,52.98,4436.47,9741.92,99.92,90.24,68.96,52.19,1.55,8,1,182.01,19.93,1.87,1167.36,152.24,565.76,0,1,1,0,16.84
2025-09-18T21:49:09.826016,84.47,76.84,51.09,3464.51,8508.7,106.23,92.07,96.44,51.83,1.31,8,0,119.16,18.34,2.41,1997.19,101.83,677.25,2,0,1,1,36.41
2025-09-18T21:49:09.826031,68.36,94.24,48.88,4402.81,7855.0,91.23,93.82,92.16,52.88,1.12,6,1,168.87,17.54,1.21,1590.45,185.48,533.81,5,1,1,0,49.34
2025-09-18T21:49:09.826046,83.59,112.55,47.24,3225.56,8593.46,85.4,88.09,59.55,53.5,3.14,6,0,162.2,11.09,2.15,1680.98,169.03,524.2,4,1,0,0,30.81
2025-09-18T21:49:09.826059,78.27,113.88,51.96,4210.8,8056.3,104.66,90.72,85.35,54.55,3.45,10,1,195.87,16.1,1.37,1082.29,110.92,799.18,3,1,1,0,20.99
2025-09-18T21:49:09.826073,94.56,56.25,47.5,4091.43,8751.3,83.31,91.33,88.52,52.19,3.01,10,1,113.53,14.5,4.67,1753.43,189.24,916.73,2,0,1,1,28.14
2025-09-18T21:49:09.826086,76.78,102.33,59.28,3644.56,8343.15,115.52,92.67,85.38,50.39,4.25,3,0,167.05,17.78,3.33,1191.74,179.35,682.4,1,0,0,0,12.13
2025-09-18T21:49:09.826099,78.93,94.61,49.52,4476.77,5319.21,86.02,94.12,87.45,53.61,1.13,4,0,143.48,15.72,2.25,1541.2,182.0,780.43,4,0,0,0,35.09
